Distirct No (apylinkės nr.),Party No (partijos nr.),Constituency No (apygardos nr.),By post (balsai paštu),Distirct (apylinkė),In distirct (balsai apylinkėje),Party (partija),Constituency (apygarda),Total (balsai iš viso),Valid ballot papers percent (galiojančių biuletenių skaičius)
29,10,70,,Nedzingės,1,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,1,0.69
29,15,70,,Nedzingės,,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,,
29,4,70,,Nedzingės,,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,,
29,17,70,,Nedzingės,,Emigrantų partija,Varėnos - Eišiškių,,
29,2,70,,Nedzingės,2,Respublikonų partija,Varėnos - Eišiškių,2,1.38
29,12,70,,Nedzingės,,Lietuvos žmonių partija,Varėnos - Eišiškių,,
28,9,70,5,Gudžių,7,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,12,5.71
28,7,70,,Gudžių,,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,,
28,14,70,2,Gudžių,5,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,7,3.33
28,16,70,3,Gudžių,5,Liberalų ir centro sąjunga,Varėnos - Eišiškių,8,3.81
28,18,70,,Gudžių,2,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,2,0.95
28,13,70,,Gudžių,1,Socialistinis liaudies Frontas,Varėnos - Eišiškių,1,0.48
28,11,70,,Gudžių,2,Krikščionių partija,Varėnos - Eišiškių,2,0.95
28,10,70,1,Gudžių,3,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,4,1.9
27,6,70,,Pušelės,22,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,22,8.0
27,9,70,,Pušelės,9,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,9,3.27
27,7,70,,Pušelės,,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,,
27,14,70,,Pušelės,2,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,2,0.73
27,16,70,1,Pušelės,11,Liberalų ir centro sąjunga,Varėnos - Eišiškių,12,4.36
27,18,70,2,Pušelės,3,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,5,1.82
27,13,70,,Pušelės,3,Socialistinis liaudies Frontas,Varėnos - Eišiškių,3,1.09
26,3,70,12,Valkininkų,111,Darbo partija,Varėnos - Eišiškių,123,29.85
26,8,70,12,Valkininkų,95,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,107,25.97
26,5,70,8,Valkininkų,43,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,51,12.38
26,1,70,9,Valkininkų,27,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,36,8.74
26,6,70,5,Valkininkų,15,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,20,4.85
25,3,70,12,Dargužių,20,Darbo partija,Varėnos - Eišiškių,32,19.16
25,8,70,12,Dargužių,28,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,40,23.95
25,5,70,2,Dargužių,4,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,6,3.59
25,1,70,13,Dargužių,12,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,25,14.97
25,6,70,,Dargužių,4,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,4,2.4
25,9,70,2,Dargužių,11,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,13,7.78
28,15,70,,Gudžių,,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,,
28,4,70,,Gudžių,,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,,
28,17,70,,Gudžių,,Emigrantų partija,Varėnos - Eišiškių,,
28,2,70,,Gudžių,2,Respublikonų partija,Varėnos - Eišiškių,2,0.95
28,12,70,,Gudžių,,Lietuvos žmonių partija,Varėnos - Eišiškių,,
27,11,70,,Pušelės,1,Krikščionių partija,Varėnos - Eišiškių,1,0.36
27,10,70,3,Pušelės,19,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,22,8.0
27,15,70,,Pušelės,,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,,
27,4,70,,Pušelės,,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,,
27,17,70,,Pušelės,,Emigrantų partija,Varėnos - Eišiškių,,
27,2,70,,Pušelės,,Respublikonų partija,Varėnos - Eišiškių,,
27,12,70,,Pušelės,1,Lietuvos žmonių partija,Varėnos - Eišiškių,1,0.36
26,9,70,1,Valkininkų,23,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,24,5.83
26,7,70,,Valkininkų,1,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,1,0.24
26,14,70,1,Valkininkų,3,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,4,0.97
26,16,70,1,Valkininkų,24,Liberalų ir centro sąjunga,Varėnos - Eišiškių,25,6.07
26,18,70,,Valkininkų,4,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,4,0.97
26,13,70,,Valkininkų,1,Socialistinis liaudies Frontas,Varėnos - Eišiškių,1,0.24
26,11,70,1,Valkininkų,2,Krikščionių partija,Varėnos - Eišiškių,3,0.73
25,7,70,1,Dargužių,,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,1,0.6
25,14,70,1,Dargužių,3,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,4,2.4
25,16,70,,Dargužių,9,Liberalų ir centro sąjunga,Varėnos - Eišiškių,9,5.39
25,18,70,,Dargužių,,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,,
25,13,70,,Dargužių,,Socialistinis liaudies Frontas,Varėnos - Eišiškių,,
25,11,70,,Dargužių,2,Krikščionių partija,Varėnos - Eišiškių,2,1.2
25,10,70,8,Dargužių,17,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,25,14.97
25,15,70,,Dargužių,,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,,
24,3,70,6,Daržininkų,11,Darbo partija,Varėnos - Eišiškių,17,23.29
24,8,70,3,Daržininkų,8,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,11,15.07
24,5,70,,Daržininkų,4,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,4,5.48
24,1,70,4,Daržininkų,9,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,13,17.81
24,6,70,1,Daržininkų,10,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,11,15.07
19,3,70,7,Tetėnų,16,Darbo partija,Varėnos - Eišiškių,23,9.62
19,8,70,3,Tetėnų,15,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,18,7.53
19,5,70,5,Tetėnų,8,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,13,5.44
19,1,70,,Tetėnų,15,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,15,6.28
26,10,70,1,Valkininkų,3,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,4,0.97
26,15,70,,Valkininkų,,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,,
26,4,70,,Valkininkų,2,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,2,0.49
26,17,70,,Valkininkų,1,Emigrantų partija,Varėnos - Eišiškių,1,0.24
26,2,70,,Valkininkų,3,Respublikonų partija,Varėnos - Eišiškių,3,0.73
26,12,70,,Valkininkų,3,Lietuvos žmonių partija,Varėnos - Eišiškių,3,0.73
25,4,70,2,Dargužių,1,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,3,1.8
25,17,70,,Dargužių,,Emigrantų partija,Varėnos - Eišiškių,,
25,2,70,,Dargužių,2,Respublikonų partija,Varėnos - Eišiškių,2,1.2
25,12,70,,Dargužių,1,Lietuvos žmonių partija,Varėnos - Eišiškių,1,0.6
24,9,70,1,Daržininkų,8,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,9,12.33
24,7,70,,Daržininkų,1,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,1,1.37
24,14,70,,Daržininkų,,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,,
24,16,70,1,Daržininkų,,Liberalų ir centro sąjunga,Varėnos - Eišiškių,1,1.37
24,18,70,,Daržininkų,,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,,
24,13,70,,Daržininkų,,Socialistinis liaudies Frontas,Varėnos - Eišiškių,,
24,11,70,2,Daržininkų,1,Krikščionių partija,Varėnos - Eišiškių,3,4.11
24,10,70,,Daržininkų,2,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,2,2.74
19,6,70,,Tetėnų,3,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,3,1.26
19,9,70,3,Tetėnų,17,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,20,8.37
19,7,70,38,Tetėnų,97,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,135,56.49
19,14,70,,Tetėnų,,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,,
19,16,70,,Tetėnų,2,Liberalų ir centro sąjunga,Varėnos - Eišiškių,2,0.84
19,18,70,,Tetėnų,1,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,1,0.42
19,13,70,,Tetėnų,1,Socialistinis liaudies Frontas,Varėnos - Eišiškių,1,0.42
19,11,70,2,Tetėnų,1,Krikščionių partija,Varėnos - Eišiškių,3,1.26
18,3,70,17,Pilvingių,54,Darbo partija,Varėnos - Eišiškių,71,38.38
18,8,70,,Pilvingių,18,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,18,9.73
18,5,70,1,Pilvingių,9,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,10,5.41
18,1,70,13,Pilvingių,25,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,38,20.54
18,3,70,7,Pabarės,33,Darbo partija,Varėnos - Eišiškių,40,8.47
18,8,70,,Pabarės,6,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,6,1.27
18,5,70,,Pabarės,1,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,1,0.21
18,1,70,,Pabarės,3,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,3,0.64
18,6,70,,Pabarės,1,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,1,0.21
17,3,70,9,Vilkiautinio,64,Darbo partija,Varėnos - Eišiškių,73,35.44
17,8,70,8,Vilkiautinio,22,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,30,14.56
17,5,70,5,Vilkiautinio,24,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,29,14.08
17,1,70,15,Vilkiautinio,20,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,35,16.99
17,6,70,1,Vilkiautinio,5,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,6,2.91
24,15,70,,Daržininkų,,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,,
24,4,70,,Daržininkų,,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,,
24,17,70,,Daržininkų,,Emigrantų partija,Varėnos - Eišiškių,,
24,2,70,,Daržininkų,,Respublikonų partija,Varėnos - Eišiškių,,
24,12,70,,Daržininkų,1,Lietuvos žmonių partija,Varėnos - Eišiškių,1,1.37
19,10,70,,Tetėnų,2,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,2,0.84
19,15,70,,Tetėnų,2,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,2,0.84
19,4,70,,Tetėnų,,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,,
19,17,70,,Tetėnų,,Emigrantų partija,Varėnos - Eišiškių,,
19,2,70,,Tetėnų,,Respublikonų partija,Varėnos - Eišiškių,,
19,12,70,,Tetėnų,1,Lietuvos žmonių partija,Varėnos - Eišiškių,1,0.42
18,6,70,6,Pilvingių,4,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,10,5.41
18,9,70,6,Pilvingių,16,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,22,11.89
18,7,70,,Pilvingių,,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,,
18,14,70,1,Pilvingių,4,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,5,2.7
18,16,70,,Pilvingių,4,Liberalų ir centro sąjunga,Varėnos - Eišiškių,4,2.16
18,18,70,1,Pilvingių,1,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,2,1.08
18,13,70,,Pilvingių,,Socialistinis liaudies Frontas,Varėnos - Eišiškių,,
18,9,70,,Pabarės,11,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,11,2.33
18,7,70,99,Pabarės,308,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,407,86.23
18,14,70,,Pabarės,,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,,
18,16,70,,Pabarės,,Liberalų ir centro sąjunga,Varėnos - Eišiškių,,
18,18,70,,Pabarės,,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,,
18,13,70,,Pabarės,2,Socialistinis liaudies Frontas,Varėnos - Eišiškių,2,0.42
18,11,70,,Pabarės,,Krikščionių partija,Varėnos - Eišiškių,,
18,10,70,,Pabarės,,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,,
17,9,70,4,Vilkiautinio,5,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,9,4.37
17,7,70,,Vilkiautinio,,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,,
17,14,70,1,Vilkiautinio,6,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,7,3.4
17,16,70,1,Vilkiautinio,2,Liberalų ir centro sąjunga,Varėnos - Eišiškių,3,1.46
17,18,70,,Vilkiautinio,1,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,1,0.49
17,13,70,1,Vilkiautinio,3,Socialistinis liaudies Frontas,Varėnos - Eišiškių,4,1.94
17,11,70,,Vilkiautinio,,Krikščionių partija,Varėnos - Eišiškių,,
17,10,70,,Vilkiautinio,3,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,3,1.46
17,3,70,4,Dainavos,37,Darbo partija,Varėnos - Eišiškių,41,8.76
17,8,70,1,Dainavos,8,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,9,1.92
17,5,70,2,Dainavos,,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,2,0.43
17,1,70,4,Dainavos,7,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,11,2.35
16,3,70,6,Purvėnų,20,Darbo partija,Varėnos - Eišiškių,26,6.45
16,8,70,1,Purvėnų,7,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,8,1.99
16,5,70,2,Purvėnų,3,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,5,1.24
16,1,70,3,Purvėnų,13,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,16,3.97
16,6,70,2,Purvėnų,1,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,3,0.74
18,11,70,3,Pilvingių,,Krikščionių partija,Varėnos - Eišiškių,3,1.62
18,10,70,,Pilvingių,,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,,
18,15,70,,Pilvingių,,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,,
18,4,70,,Pilvingių,1,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,1,0.54
18,17,70,,Pilvingių,,Emigrantų partija,Varėnos - Eišiškių,,
18,2,70,,Pilvingių,,Respublikonų partija,Varėnos - Eišiškių,,
18,12,70,1,Pilvingių,,Lietuvos žmonių partija,Varėnos - Eišiškių,1,0.54
18,15,70,,Pabarės,,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,,
18,4,70,,Pabarės,,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,,
18,17,70,,Pabarės,1,Emigrantų partija,Varėnos - Eišiškių,1,0.21
18,2,70,,Pabarės,,Respublikonų partija,Varėnos - Eišiškių,,
18,12,70,,Pabarės,,Lietuvos žmonių partija,Varėnos - Eišiškių,,
17,15,70,,Vilkiautinio,3,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,3,1.46
17,4,70,,Vilkiautinio,1,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,1,0.49
17,17,70,,Vilkiautinio,,Emigrantų partija,Varėnos - Eišiškių,,
17,2,70,,Vilkiautinio,2,Respublikonų partija,Varėnos - Eišiškių,2,0.97
17,12,70,,Vilkiautinio,,Lietuvos žmonių partija,Varėnos - Eišiškių,,
17,6,70,,Dainavos,6,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,6,1.28
17,9,70,3,Dainavos,44,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,47,10.04
17,7,70,99,Dainavos,240,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,339,72.44
17,14,70,,Dainavos,1,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,1,0.21
17,16,70,,Dainavos,1,Liberalų ir centro sąjunga,Varėnos - Eišiškių,1,0.21
17,18,70,,Dainavos,2,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,2,0.43
17,13,70,,Dainavos,1,Socialistinis liaudies Frontas,Varėnos - Eišiškių,1,0.21
17,11,70,,Dainavos,1,Krikščionių partija,Varėnos - Eišiškių,1,0.21
16,9,70,9,Purvėnų,41,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,50,12.41
16,7,70,63,Purvėnų,217,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,280,69.48
16,14,70,1,Purvėnų,2,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,3,0.74
16,16,70,,Purvėnų,,Liberalų ir centro sąjunga,Varėnos - Eišiškių,,
16,18,70,,Purvėnų,,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,,
16,13,70,2,Purvėnų,3,Socialistinis liaudies Frontas,Varėnos - Eišiškių,5,1.24
16,11,70,,Purvėnų,,Krikščionių partija,Varėnos - Eišiškių,,
16,3,70,6,Panaros,24,Darbo partija,Varėnos - Eišiškių,30,27.27
16,8,70,4,Panaros,16,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,20,18.18
16,5,70,2,Panaros,8,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,10,9.09
16,1,70,10,Panaros,6,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,16,14.55
16,6,70,1,Panaros,13,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,14,12.73
15,3,70,21,Merkinės,161,Darbo partija,Varėnos - Eišiškių,182,24.53
15,8,70,17,Merkinės,153,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,170,22.91
15,5,70,19,Merkinės,104,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,123,16.58
15,1,70,19,Merkinės,56,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,75,10.11
15,6,70,5,Merkinės,28,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,33,4.45
17,10,70,,Dainavos,6,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,6,1.28
17,15,70,,Dainavos,,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,,
17,4,70,,Dainavos,,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,,
17,17,70,,Dainavos,,Emigrantų partija,Varėnos - Eišiškių,,
17,2,70,,Dainavos,1,Respublikonų partija,Varėnos - Eišiškių,1,0.21
17,12,70,,Dainavos,,Lietuvos žmonių partija,Varėnos - Eišiškių,,
16,10,70,1,Purvėnų,,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,1,0.25
16,15,70,,Purvėnų,,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,,
16,4,70,,Purvėnų,,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,,
16,17,70,,Purvėnų,1,Emigrantų partija,Varėnos - Eišiškių,1,0.25
16,2,70,2,Purvėnų,,Respublikonų partija,Varėnos - Eišiškių,2,0.5
16,12,70,2,Purvėnų,1,Lietuvos žmonių partija,Varėnos - Eišiškių,3,0.74
16,9,70,,Panaros,4,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,4,3.64
16,7,70,,Panaros,,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,,
16,14,70,,Panaros,1,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,1,0.91
16,16,70,,Panaros,5,Liberalų ir centro sąjunga,Varėnos - Eišiškių,5,4.55
16,18,70,,Panaros,,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,,
16,13,70,2,Panaros,1,Socialistinis liaudies Frontas,Varėnos - Eišiškių,3,2.73
16,11,70,3,Panaros,1,Krikščionių partija,Varėnos - Eišiškių,4,3.64
16,10,70,,Panaros,2,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,2,1.82
15,9,70,3,Merkinės,42,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,45,6.06
15,7,70,1,Merkinės,,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,1,0.13
15,14,70,1,Merkinės,10,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,11,1.48
15,16,70,,Merkinės,17,Liberalų ir centro sąjunga,Varėnos - Eišiškių,17,2.29
15,18,70,3,Merkinės,7,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,10,1.35
15,13,70,1,Merkinės,7,Socialistinis liaudies Frontas,Varėnos - Eišiškių,8,1.08
15,11,70,9,Merkinės,25,Krikščionių partija,Varėnos - Eišiškių,34,4.58
15,10,70,3,Merkinės,17,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,20,2.7
15,3,70,,Kalesninkų,27,Darbo partija,Varėnos - Eišiškių,27,4.73
15,8,70,1,Kalesninkų,27,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,28,4.9
15,5,70,2,Kalesninkų,2,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,4,0.7
15,1,70,,Kalesninkų,4,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,4,0.7
15,6,70,,Kalesninkų,4,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,4,0.7
14,3,70,6,Kibyšių,31,Darbo partija,Varėnos - Eišiškių,37,25.87
14,8,70,4,Kibyšių,18,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,22,15.38
14,5,70,6,Kibyšių,17,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,23,16.08
14,1,70,12,Kibyšių,19,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,31,21.68
14,6,70,1,Kibyšių,2,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,3,2.1
16,15,70,,Panaros,,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,,
16,4,70,1,Panaros,,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,1,0.91
